x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.1085427135678392,3.0,99.0,98.0,97.0,98.0,100.0,59.0,3.0,0.0,2.0,3.0,24.0,100.0,4.0,4.0,4.0,6.0,6.0,6.0
1.1115577889447237,3.0,99.0,98.0,97.0,98.0,100.0,59.0,3.0,0.0,2.0,4.0,24.0,100.0,4.0,4.0,4.0,6.0,6.0,6.0
1.114572864321608,3.0,100.0,98.0,97.0,98.0,100.0,59.0,4.0,0.0,2.0,4.0,24.0,100.0,4.0,4.0,4.0,6.0,6.0,7.000000000000001
1.1175879396984925,3.0,100.0,98.0,97.0,98.0,100.0,59.0,6.0,0.0,3.0,6.0,24.0,100.0,4.0,4.0,4.0,7.000000000000001,6.0,11.0
1.120603015075377,3.0,100.0,98.0,97.0,99.0,100.0,59.0,9.0,0.0,4.0,8.0,26.0,100.0,5.0,5.0,5.0,7.000000000000001,7.000000000000001,13.0
1.1236180904522612,7.000000000000001,100.0,98.0,97.0,100.0,100.0,59.0,10.0,0.0,5.0,11.0,27.0,100.0,6.0,5.0,5.0,10.0,7.000000000000001,13.0
1.1266331658291457,7.000000000000001,100.0,98.0,97.0,100.0,100.0,59.0,11.0,1.0,6.0,14.000000000000002,28.999999999999996,100.0,9.0,6.0,6.0,11.0,8.0,14.000000000000002
1.1296482412060302,10.0,100.0,98.0,97.0,100.0,100.0,59.0,12.0,1.0,7.000000000000001,15.0,30.0,100.0,10.0,9.0,7.000000000000001,12.0,11.0,15.0
1.1326633165829145,11.0,100.0,98.0,97.0,100.0,100.0,59.0,13.0,1.0,8.0,18.0,35.0,100.0,14.000000000000002,13.0,10.0,14.000000000000002,11.0,19.0
1.135678391959799,16.0,100.0,98.0,97.0,100.0,100.0,59.0,15.0,2.0,9.0,22.0,38.0,100.0,16.0,14.000000000000002,12.0,16.0,14.000000000000002,19.0
1.1386934673366833,17.0,100.0,98.0,97.0,100.0,100.0,59.0,18.0,3.0,11.0,28.000000000000004,40.0,100.0,18.0,17.0,17.0,18.0,14.000000000000002,23.0
1.1417085427135678,17.0,100.0,98.0,97.0,100.0,100.0,59.0,19.0,4.0,14.000000000000002,34.0,45.0,100.0,19.0,20.0,21.0,21.0,18.0,23.0
1.1447236180904523,19.0,100.0,98.0,97.0,100.0,100.0,59.0,20.0,7.000000000000001,17.0,39.0,52.0,100.0,20.0,20.0,21.0,23.0,19.0,23.0
1.1477386934673366,21.0,100.0,98.0,97.0,100.0,100.0,59.0,22.0,8.0,18.0,43.0,59.0,100.0,22.0,22.0,22.0,24.0,23.0,26.0
1.150753768844221,25.0,100.0,98.0,97.0,100.0,100.0,59.0,24.0,8.0,23.0,47.0,65.0,100.0,25.0,25.0,23.0,26.0,26.0,26.0
1.1537688442211056,28.999999999999996,100.0,98.0,97.0,100.0,100.0,59.0,25.0,8.0,25.0,50.0,68.0,100.0,27.0,25.0,24.0,26.0,27.0,27.0
1.1567839195979899,30.0,100.0,98.0,97.0,100.0,100.0,59.0,26.0,9.0,26.0,52.0,75.0,100.0,28.999999999999996,27.0,25.0,27.0,28.000000000000004,28.999999999999996
1.1597989949748744,33.0,100.0,98.0,98.0,100.0,100.0,59.0,26.0,11.0,28.999999999999996,55.00000000000001,77.0,100.0,28.999999999999996,27.0,27.0,28.000000000000004,28.999999999999996,30.0
1.1628140703517589,35.0,100.0,98.0,98.0,100.0,100.0,59.0,28.999999999999996,11.0,28.999999999999996,57.99999999999999,78.0,100.0,28.999999999999996,28.999999999999996,28.999999999999996,31.0,31.0,31.0
1.1658291457286432,37.0,100.0,98.0,98.0,100.0,100.0,59.0,30.0,12.0,28.999999999999996,57.99999999999999,80.0,100.0,30.0,30.0,28.999999999999996,31.0,32.0,31.0
1.1688442211055277,41.0,100.0,98.0,98.0,100.0,100.0,59.0,30.0,12.0,30.0,62.0,81.0,100.0,30.0,30.0,30.0,31.0,32.0,32.0
1.1718592964824122,44.0,100.0,98.0,98.0,100.0,100.0,59.0,30.0,12.0,32.0,63.0,82.0,100.0,32.0,30.0,31.0,31.0,32.0,32.0
