1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
1.6183483,1.6271055,1.6097152,1.6095104,1.5908302,1.6137563,1.6211786,1.61131,1.6313429,1.6322628,1.6150514,1.6376369,1.5994207,1.6211007,1.6207093,1.6113849,1.634782,1.5951263,1.617205
1.6562841,1.4484563,1.4505381,1.4399534,1.4621062,1.4416931,1.4389243,1.6547436,1.6217536,1.7962505,1.6282895,1.6246805,1.4453162,1.622367,1.6241164,1.6421192,1.6625236,1.6279198,1.6367139
1.6598094,1.513575,1.4902704,1.4928912,1.4835802,1.4893457,1.4948105,1.7110394,1.7041596,1.8913696,1.6709198,1.6574171,1.7443413,1.7224623,1.7174586,1.7398887,1.7116825,1.7260261,1.7316522
1.6383213,1.4596328,1.4472185,1.4566436,1.439332,1.4337743,1.4369953,1.5933259,1.602253,1.6071809,1.6385371,1.6075436,1.4273681,1.6155191,1.6000288,1.6002521,1.6004864,1.6231273,1.6064985
1.6331921,1.7088828,1.665144,1.6679746,1.6756739,1.6563926,1.6691465,1.6619962,1.6665603,1.6343907,1.6489681,1.6648968,1.666913,1.6407311,1.6474478,1.6461654,1.650866,1.6421015,1.6510919
1.653348,1.4740394,1.4478639,1.4584633,1.4721875,1.4599508,1.4486358,1.6273439,1.6207676,1.6272436,1.635256,1.6212301,1.6112925,1.6260851,1.616559,1.6216968,1.6608447,1.6282753,1.6420836
1.6240127,1.4265512,1.439037,1.4522289,1.4519746,1.451414,1.4493321,1.6145227,1.6344692,1.8356602,1.647501,1.647913,1.6320867,1.6281116,1.6395829,1.6229056,1.6351466,1.6346735,1.6235906
1.7642831,1.5314291,1.4805098,1.5084002,1.4930176,1.4836558,1.4825008,1.6559811,1.6543318,1.621774,1.6393792,1.6490146,1.6471131,1.6487383,1.6613633,1.6456499,1.6564586,1.6637213,1.6607916
1.656598,1.6668041,1.6540436,1.6849106,1.6523241,1.6656262,1.7172136,1.6764376,1.6645838,1.6545406,1.6697031,1.650273,1.6526381,1.6621354,1.6622245,1.6563371,1.6623525,1.6707131,1.6801658
1.6708128,1.486956,1.4785101,1.4924556,1.4653013,1.4681224,1.4975332,1.6437745,1.6480363,1.6477719,1.6412093,1.6382963,1.4664862,1.6473456,1.634918,1.6418876,1.650296,1.6382147,1.6568579
