1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
0.2555305,0.2172296,0.2234115,0.2178787,0.2109126,0.2111185,0.2132723,0.2698173,0.2733182,0.2460232,0.2697458,0.2396034,0.2099873,0.2661969,0.2676631,0.27079,0.2740853,0.2736604,0.2697724
0.2938438,0.2224064,0.2191504,0.2178236,0.2202277,0.2175694,0.2188845,0.2727906,0.2427787,0.2463816,0.2521984,0.2446813,0.2158752,0.2756602,0.270377,0.2693938,0.2731651,0.2755794,0.277493
0.282726,0.2237077,0.2138822,0.2202221,0.2149046,0.217506,0.2193827,0.2719433,0.2712587,0.2773189,0.2771096,0.2675829,0.2189572,0.2768949,0.2706299,0.2720623,0.2660911,0.2713816,0.2764625
0.2748072,0.2094291,0.2093251,0.2114591,0.2098641,0.2104527,0.2089896,0.2359851,0.2373881,0.2378711,0.2373215,0.2360091,0.2073268,0.2376431,0.2398027,0.2366181,0.2392608,0.2376691,0.2421397
0.2646608,0.2164229,0.2125629,0.2243928,0.219439,0.2135948,0.2220792,0.2681372,0.2638717,0.26776,0.2670555,0.2421314,0.2165018,0.2679492,0.2695176,0.2758826,0.27184,0.2675414,0.2664652
0.2427316,0.2121658,0.2153057,0.2220277,0.2193736,0.2249948,0.2245918,0.2746545,0.2688211,0.2650145,0.2371266,0.2399302,0.2122782,0.2720012,0.273018,0.2719386,0.2663593,0.2718696,0.2682568
0.2427899,0.2228801,0.216882,0.2137468,0.217423,0.2164999,0.2196247,0.2700626,0.2694074,0.2774187,0.2421523,0.2543321,0.2098148,0.2781733,0.2744635,0.2712215,0.2709494,0.2734097,0.2758023
0.2492131,0.2185158,0.2177571,0.2190587,0.2275188,0.2216742,0.2749262,0.2422783,0.2744221,0.2698524,0.2723408,0.2585438,0.2142885,0.2409303,0.2562209,0.2432063,0.2404582,0.246795,0.2453388
0.2469243,0.2217184,0.2174646,0.2189317,0.2190765,0.2173957,0.2187998,0.2445313,0.2648967,0.2325211,0.2376604,0.2393509,0.2098449,0.2406392,0.2411853,0.2429636,0.2383521,0.2131318,0.2141181
0.2453898,0.2194384,0.2172126,0.2149723,0.2196571,0.2177006,0.2249906,0.2448053,0.2651906,0.2629642,0.2391505,0.2444435,0.2206983,0.2406141,0.2118529,0.2152563,0.2132888,0.2160049,0.2132583
0.2714014,0.2223775,0.2169002,0.2111038,0.2196481,0.218564,0.2228165,0.2787125,0.2723161,0.2485369,0.2480883,0.2205915,0.2224962,0.2734646,0.2726231,0.2758617,0.2754202,0.2761723,0.2699315
0.2773671,0.2172091,0.2183503,0.2136248,0.2167565,0.2261697,0.2142531,0.2974382,0.2688272,0.271486,0.2707137,0.2714229,0.2122487,0.3049017,0.2997138,0.2979466,0.2981061,0.2995317,0.3043644
0.252616,0.2147746,0.2167868,0.2137552,0.2234721,0.2204162,0.2162773,0.2709099,0.2722083,0.2916882,0.2495565,0.2504653,0.214764,0.2718187,0.2731314,0.2714027,0.2798232,0.2726545,0.2711891
0.2830833,0.2137224,0.2175634,0.2148113,0.2229471,0.218065,0.2223706,0.2405836,0.2442551,0.2709093,0.2468498,0.2444404,0.2186882,0.2501432,0.2685101,0.273549,0.267242,0.2740878,0.2695182
0.2613428,0.2088227,0.2168362,0.2123254,0.2154837,0.2183251,0.2697253,0.2624117,0.2704192,0.2663205,0.2395398,0.2400671,0.2099675,0.2643601,0.2655969,0.2671338,0.2695494,0.2628509,0.264988
0.2691787,0.2207676,0.2180439,0.2182645,0.2236368,0.218902,0.2779611,0.2854715,0.2740202,0.2483937,0.2457664,0.2515502,0.2143732,0.2762902,0.2715823,0.27855,0.2775739,0.2848412,0.2733753
0.2339187,0.2060473,0.2088067,0.2116576,0.2085804,0.2104718,0.2669031,0.273262,0.2387515,0.2409434,0.2356844,0.2376198,0.2067455,0.2628288,0.2640916,0.2661195,0.2612755,0.2687884,0.2653988
