1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
0.2614627,0.2130156,0.214818,0.2351049,0.2144897,0.2135532,0.2140526,0.2418269,0.2675071,0.2394406,0.235195,0.2090608,0.2112457,0.2366356,0.2376224,0.2378827,0.2370754,0.2400518,0.23727
0.2462632,0.2242547,0.2190497,0.2412797,0.2179346,0.2188145,0.2186402,0.2446213,0.2480294,0.2385612,0.240695,0.2418074,0.2106081,0.2419048,0.2394776,0.2707787,0.2752917,0.2712966,0.27158
0.2704713,0.2155304,0.219676,0.2405422,0.2119793,0.2203166,0.2152213,0.2693195,0.2682888,0.2732199,0.2723565,0.2730836,0.2418489,0.2687856,0.2716561,0.2896894,0.2685531,0.2712497,0.2682014
0.2736573,0.2101685,0.2131881,0.239713,0.2148016,0.213074,0.211091,0.2417259,0.2369302,0.239915,0.2393726,0.2448535,0.2107996,0.2371899,0.2364157,0.2391576,0.2383665,0.2424505,0.2412378
0.2639024,0.2077622,0.2120174,0.2082938,0.2106083,0.2125627,0.2085884,0.2655112,0.235978,0.2361659,0.2374004,0.2347799,0.2078715,0.2640608,0.2654293,0.2633656,0.2645764,0.2631875,0.2683321
0.2399351,0.2197973,0.2181062,0.2171027,0.2141175,0.2166249,0.2190962,0.2710085,0.2727464,0.2727802,0.2693667,0.2455901,0.2155829,0.26816,0.2694768,0.2711793,0.2697569,0.2689449,0.2687037
0.2451741,0.2143057,0.2195771,0.2374803,0.2164844,0.219476,0.2181675,0.2740711,0.2722626,0.2791021,0.2460652,0.2464169,0.2173481,0.272186,0.2709869,0.2705593,0.2682356,0.2705557,0.2736891
0.2436129,0.2144032,0.2151241,0.2152447,0.2133601,0.2170047,0.213279,0.2426383,0.2735052,0.244707,0.2713421,0.2390964,0.2415822,0.2391125,0.240748,0.2406924,0.2428596,0.2411692,0.2401404
0.2694819,0.2129287,0.2139405,0.2373422,0.2173778,0.2135277,0.2181617,0.2414587,0.2675679,0.2671236,0.2393963,0.2157688,0.2136779,0.2431846,0.2449563,0.2453311,0.2462017,0.2462111,0.2469833
0.2713336,0.2161416,0.2151806,0.2140613,0.2169006,0.2144788,0.2453048,0.2672652,0.2658156,0.2684069,0.2419722,0.2383241,0.2429446,0.2666089,0.2725849,0.2697224,0.2692556,0.2720352,0.2727303
0.2749977,0.2170407,0.2167372,0.2423843,0.2188155,0.2187461,0.2236676,0.2741065,0.2741545,0.246715,0.246724,0.2149883,0.2140178,0.2779668,0.2722595,0.2743619,0.2707758,0.2764291,0.2713532
0.238507,0.222133,0.2268876,0.220845,0.2176871,0.2201447,0.2179615,0.3028629,0.2762191,0.2750595,0.2763796,0.2765001,0.2171052,0.2993338,0.3035344,0.3027686,0.304028,0.3056473,0.300948
0.2508759,0.21519,0.2174547,0.2394345,0.219642,0.2172838,0.215856,0.2721259,0.2709281,0.2740119,0.2487877,0.2484721,0.2471223,0.2776188,0.2731021,0.2729247,0.2683517,0.2754926,0.2722212
0.2695006,0.2161716,0.2183121,0.2412038,0.2170144,0.2204894,0.2193981,0.2441518,0.2715605,0.2424257,0.2413424,0.2441265,0.2128511,0.2455537,0.2420001,0.244453,0.2421057,0.2452046,0.2408071
0.2647861,0.238327,0.23709,0.2420247,0.2379469,0.2393799,0.2423319,0.2639169,0.2686862,0.2696564,0.2658722,0.2365791,0.2364927,0.2644804,0.263928,0.2642092,0.262928,0.2651111,0.2636431
0.2453369,0.219151,0.2135488,0.240584,0.2134296,0.2135609,0.2165716,0.2434101,0.2411802,0.2438232,0.24117,0.2422036,0.2180746,0.2466641,0.2426956,0.2477488,0.2441243,0.2462202,0.243783
0.240546,0.2157444,0.2109208,0.2157304,0.2161516,0.2141776,0.2107777,0.2668327,0.2698102,0.2671324,0.2431816,0.2148841,0.2131449,0.2718005,0.268442,0.27095,0.2679372,0.2824787,0.2703042
0.2662663,0.2147029,0.2105758,0.2385336,0.2112715,0.2124584,0.2144776,0.2379244,0.2429248,0.2418061,0.2424276,0.2133102,0.21248,0.2381338,0.2391926,0.2368707,0.2381358,0.2398316,0.2364124
0.2425974,0.2195915,0.2164899,0.220893,0.2189896,0.2218287,0.2208184,0.2709388,0.2678685,0.2689382,0.2414863,0.2423759,0.2138873,0.2718675,0.2422043,0.2412301,0.2449384,0.2436701,0.2433953
0.2722764,0.216498,0.2149757,0.2428921,0.2173576,0.2187863,0.2180202,0.2750975,0.2455053,0.2701379,0.2429899,0.2144826,0.2145055,0.2736278,0.2692253,0.2744535,0.2726105,0.2712721,0.2716501
0.2646678,0.2143359,0.2144448,0.2372561,0.2138238,0.2144341,0.2132312,0.2627314,0.2669754,0.2638435,0.2668455,0.2370262,0.2373426,0.2621892,0.2592009,0.2617153,0.2622367,0.2626184,0.2612181
0.2737962,0.2159556,0.2162073,0.2394584,0.2162958,0.2154491,0.2173273,0.2445908,0.2422632,0.2416114,0.2413496,0.2116117,0.2136866,0.239983,0.2408307,0.2374737,0.2436798,0.2390624,0.239135
0.2432907,0.2220616,0.2131464,0.2206593,0.2122489,0.2192794,0.2193059,0.2414718,0.243891,0.2453047,0.2397782,0.2135146,0.2183409,0.2426147,0.242845,0.2435451,0.2454183,0.2418758,0.2435875
0.2438298,0.2190883,0.2158441,0.2195875,0.2185812,0.2182694,0.2171447,0.2751288,0.2421555,0.2445745,0.2405332,0.2140105,0.2455552,0.2683731,0.271928,0.27102,0.2756589,0.2700699,0.2760805
0.2415875,0.2228568,0.2152684,0.2163459,0.2192691,0.2174179,0.2130014,0.2742658,0.2740083,0.2687293,0.2717072,0.2421906,0.2152847,0.2690218,0.2699415,0.2697515,0.2745557,0.2712132,0.2688261
0.2425016,0.2142641,0.214538,0.2125449,0.2151092,0.2180778,0.2161557,0.2440768,0.2704029,0.2734604,0.2451198,0.2406981,0.2119179,0.2401459,0.2523131,0.2435193,0.2411598,0.2404658,0.243456
0.2471841,0.2218437,0.2146907,0.216763,0.2156255,0.219305,0.2180483,0.2729881,0.2742179,0.2780084,0.2708009,0.2454653,0.2422903,0.2750409,0.2766376,0.2804917,0.2748052,0.2728422,0.2788283
0.2381481,0.2454838,0.2467615,0.2703483,0.2468496,0.2493837,0.2472354,0.2742587,0.2660615,0.2677333,0.2718656,0.2442886,0.2463532,0.2724297,0.2689108,0.2735348,0.2703772,0.2703858,0.2714029
0.234953,0.2090555,0.2129793,0.2144118,0.2173101,0.2122719,0.2153912,0.2679045,0.2700023,0.2664818,0.2397444,0.239664,0.2114181,0.2663839,0.2671525,0.2697513,0.2687342,0.2659118,0.2664356
0.2104819,0.2125544,0.2151609,0.211865,0.2125205,0.2120797,0.215845,0.2715634,0.270037,0.2392808,0.2419934,0.239707,0.2103647,0.2728446,0.2693583,0.2690198,0.271713,0.26804,0.2692478
0.242797,0.2182386,0.2163125,0.2156116,0.2173848,0.2150886,0.213837,0.2464917,0.2404613,0.2420565,0.2389413,0.2122596,0.2124646,0.2410886,0.242631,0.2396242,0.2415803,0.2414626,0.2407281
0.2652165,0.2425303,0.2424279,0.2424742,0.2392143,0.2424564,0.2394879,0.2696385,0.270575,0.2719824,0.2420387,0.2407362,0.2399706,0.2688186,0.2685849,0.2697152,0.2661211,0.265555,0.2692259
0.2624026,0.2124954,0.2114023,0.2153679,0.2104683,0.2129118,0.2171575,0.2675054,0.2698757,0.2706999,0.2435892,0.2407379,0.212504,0.2662105,0.2639476,0.2656129,0.2661166,0.2710183,0.2644842
0.2664743,0.2394031,0.2421012,0.2647547,0.2443839,0.2410235,0.2439594,0.263997,0.2697019,0.2404791,0.2740707,0.2684765,0.2406681,0.2685201,0.2647473,0.2679151,0.2644942,0.2661805,0.2709844
0.2452761,0.2203671,0.215226,0.2166416,0.2149723,0.2193891,0.2208329,0.2758957,0.272054,0.2724685,0.2480087,0.2423237,0.2111661,0.2717508,0.2771405,0.274054,0.2704219,0.2719899,0.2755095
0.2644112,0.2104497,0.2095916,0.2378596,0.2120979,0.2129871,0.2156123,0.2346115,0.2673781,0.2398354,0.2427252,0.2172709,0.2084154,0.2367982,0.2372288,0.2363593,0.2386039,0.2361814,0.2385399
0.2742476,0.2155338,0.2149475,0.2172672,0.2149204,0.2138796,0.2197837,0.2444058,0.2691894,0.269893,0.2732734,0.2407934,0.2114011,0.2452485,0.2433184,0.2466521,0.2403505,0.2435247,0.241928
0.2671248,0.2151505,0.212731,0.2115034,0.2131436,0.2163891,0.2480136,0.2752597,0.2688675,0.2436627,0.2414349,0.2407399,0.245495,0.2729184,0.2690642,0.2679342,0.269653,0.2709869,0.267327
0.2444002,0.2167355,0.2154688,0.2177566,0.2137878,0.2140902,0.2118768,0.2730048,0.2697703,0.2391118,0.2391096,0.2388429,0.2109033,0.2707782,0.2668477,0.2720591,0.2712237,0.2683016,0.2701766
0.2413044,0.2149169,0.2122748,0.242822,0.2137917,0.2119501,0.216192,0.2767265,0.2467725,0.2398401,0.2394535,0.240874,0.2135682,0.268809,0.273252,0.2701882,0.2681017,0.270529,0.2700602
0.269772,0.2179219,0.2169494,0.2158258,0.2195313,0.2121559,0.2181695,0.2677996,0.2349994,0.2627881,0.2359566,0.2422925,0.2140607,0.2672747,0.2648736,0.2683998,0.2668611,0.2654122,0.266242
0.2643079,0.2183755,0.2165136,0.2139015,0.2117705,0.2106025,0.2160637,0.2381749,0.266433,0.2690209,0.2435437,0.2097848,0.2122346,0.2383426,0.2391086,0.2421328,0.240992,0.2390021,0.2389429
0.2702536,0.2180405,0.2196279,0.2208594,0.2201344,0.2214172,0.2173009,0.2744872,0.2712665,0.2643091,0.2393888,0.2121133,0.2116399,0.2720982,0.2759318,0.277255,0.2883407,0.2773802,0.2784989
0.2433403,0.2138478,0.2157676,0.2441685,0.2168144,0.2238937,0.2161227,0.2780446,0.243739,0.2400447,0.239512,0.2393608,0.2148913,0.2698028,0.2717191,0.2768609,0.2720286,0.2707544,0.2781801
0.272798,0.2187981,0.2196557,0.241837,0.2181178,0.2189729,0.2191902,0.2726146,0.2643533,0.2612577,0.2425836,0.2437849,0.2173064,0.2686961,0.2709759,0.270161,0.2679847,0.2683795,0.2716232
0.2623277,0.2154945,0.2150428,0.2161177,0.2134465,0.2117117,0.2172778,0.2647588,0.2409086,0.2655127,0.2384492,0.241467,0.2094959,0.264341,0.265327,0.2677197,0.262806,0.2638286,0.2683155
0.2751763,0.2202054,0.2194947,0.2131565,0.2177481,0.2186229,0.2201075,0.2727288,0.2693562,0.271484,0.2408007,0.2426188,0.2426932,0.2721962,0.2701964,0.2671743,0.2672765,0.2697148,0.2713445
0.244277,0.2155088,0.2154984,0.2405976,0.2134943,0.2161178,0.2158777,0.2462633,0.2751531,0.2755614,0.2499049,0.2456805,0.2151659,0.2449035,0.2460086,0.2480233,0.2448828,0.2416703,0.2433879
0.2419816,0.2174343,0.2161995,0.2156618,0.2146704,0.216688,0.2156595,0.2762194,0.2688557,0.2708407,0.2428356,0.2404361,0.241236,0.2708721,0.2694408,0.2699785,0.2714105,0.2681917,0.2430968
0.2725551,0.2447317,0.2428411,0.2459863,0.2454983,0.2432075,0.2466051,0.274609,0.2448945,0.2416039,0.2499476,0.2423947,0.2451535,0.2729905,0.2722695,0.2740193,0.2720058,0.2750555,0.2738024
