1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
1.6393891,1.4532132,1.4545348,1.4537456,1.4359508,1.4289147,1.4608971,1.6081512,1.8053234,1.6257611,1.6148924,1.6224147,1.4428883,1.6187648,1.6272407,1.618859,1.6081506,1.6159481,1.6079868
1.6166816,1.4563421,1.4551609,1.4555643,1.4544997,1.4601092,1.4473834,1.615966,1.6491556,1.8196349,1.6475975,1.6148488,1.4540003,1.61695,1.6198854,1.6101715,1.6272266,1.6334721,1.6272243
1.6574644,1.5082204,1.4881092,1.4918598,1.5104058,1.4975896,1.5213245,1.6470865,1.6472946,1.7950084,1.6478454,1.6206267,1.5091718,1.6809025,1.6585174,1.6702992,1.6593543,1.6645324,1.6743555
1.6144813,1.4479738,1.4449752,1.4334256,1.4357049,1.4546155,1.440298,1.6192969,1.6387154,1.6166531,1.6244628,1.6221635,1.4315531,1.6248163,1.6159622,1.62067,1.6158149,1.6075327,1.6294265
1.6439614,1.4984108,1.4571274,1.4640596,1.4578344,1.4482677,1.4507599,1.6453846,1.6324731,1.615113,1.6233664,1.616797,1.4628913,1.6428505,1.6496058,1.6398143,1.6345675,1.6309381,1.6256692
1.6544132,1.4702658,1.4642569,1.4539411,1.4382521,1.4449226,1.4545968,1.6193477,1.6123349,1.6157925,1.6157832,1.6312716,1.4472384,1.6256663,1.6096859,1.6391676,1.6175235,1.6208599,1.6244447
1.6073825,1.4347842,1.4466637,1.436707,1.4217833,1.8042963,1.4740305,1.6197499,2.8352979,2.8670355,2.8445629,2.8052045,2.4242836,2.8305546,1.60411,1.6135294,1.6107101,1.6060174,1.6172204
2.0823038,1.48947,1.8058092,1.4958152,1.4759149,1.4943187,1.5016745,1.6700168,3.1154515,1.6778187,1.835655,1.7052015,2.3274423,3.042715,1.6750326,1.6631155,1.662522,1.6683086,1.6530928
3.2891614,1.4730642,2.420523,1.4680226,1.4811345,1.4795246,1.4924785,2.0454493,2.0003119,2.9895723,1.649741,3.0671193,1.5003467,3.9197658,2.0075725,2.0063641,1.8381043,1.8410997,1.8159353
1.6503845,1.4812824,1.4738407,1.4665264,1.4705075,1.5131818,1.4799668,1.6337,1.6259699,1.6541271,1.6483997,1.6383735,1.4657198,1.6387056,1.6365707,1.6551168,1.6549788,1.6424494,1.7128853
1.634656,1.4567263,1.455951,1.4507681,1.4728266,1.4583644,1.4608068,1.6474614,1.6489186,1.6145598,1.6370198,1.6372189,1.4696771,1.6701594,1.6591819,1.6788614,1.645918,1.6419727,1.6393757
1.6657164,1.4857045,1.4472594,1.4438175,1.4304235,1.4394697,1.4442789,1.6287535,1.6406019,1.6196482,1.6187643,1.6326173,1.4507007,1.6452063,1.6317298,1.6250223,1.6281538,1.6517478,1.6373189
1.6369839,1.4872641,1.4654937,1.4679478,1.4846924,1.4865884,1.4684336,1.6600986,1.6538947,1.8256803,1.6413768,1.6555324,1.4850798,1.6559172,1.6460856,1.6603345,1.6596528,1.6467529,1.6489653
1.471576,1.4954955,1.4806918,1.4838898,1.4706715,1.4769599,1.4860779,1.6630749,1.6699431,1.6564816,1.6857161,1.6503857,1.4640744,1.6455238,1.6656364,1.6508457,1.6416021,1.6607062,1.6483172
1.6001474,1.4551901,1.4426494,1.4480004,1.4482924,1.4470622,1.4565517,1.594619,1.6054425,1.615144,1.6205974,1.6228481,1.4605438,1.6109995,1.600339,1.5963228,1.6072889,1.6101874,1.609018
1.6461365,1.2850413,1.2873024,2.3783722,1.2783186,1.3789637,2.7261331,2.6231231,1.6525397,2.356242,2.074251,2.8655599,1.8856738,1.6540349,1.6303358,1.6373805,1.6583103,1.6441865,1.6519198
1.6344446,1.4475627,2.1821479,1.4447328,1.4337703,1.4482494,2.3560676,1.6278417,2.5673872,1.6243855,2.0144173,1.663674,2.2449046,1.6718372,1.6398682,1.6286119,1.6268333,1.6185503,1.6246147
2.37839,2.5609001,1.944635,1.4902288,1.4692184,1.5107255,1.5118029,1.655138,1.636507,1.7330895,3.0795695,1.6526397,2.8044092,1.6571124,1.6600809,1.6697913,1.667752,1.6593528,1.676303
1.6620243,1.4618699,1.477244,1.483459,1.4894067,1.4735915,2.8375739,1.6638367,1.8536943,1.6629405,1.6626379,1.6691742,1.5068483,1.7158365,1.7125417,1.7137456,1.7096741,1.7030645,1.6916269
1.6875045,1.522077,1.4796731,1.4935877,1.4693724,1.4724272,2.3589361,1.8247593,1.6469614,1.6432007,1.6617569,1.6559102,1.464944,1.8197022,1.8158492,1.8146865,1.6525167,1.6520109,1.6470547
1.6437844,1.4887137,1.4647096,1.4724444,1.8916397,1.494244,1.4721618,1.6486779,1.6569385,1.6310602,1.6419512,1.6569267,1.4758585,1.6541711,1.6508418,1.6605664,1.6754225,1.6356372,1.6378695
