1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
2.5464857,1.6606137,1.6911548,1.6550508,1.6482821,1.641487,1.6578797,2.0127757,1.6607877,1.6562507,1.6472076,1.664843,1.6741356,2.0132618,1.9960988,2.0129791,2.0031889,1.9967772,2.0116775
2.329909,1.6603879,1.6544716,1.6557076,1.6644642,1.6515682,1.6720526,2.3368022,1.6278909,1.6459044,1.6430863,1.8609264,1.6613834,2.3956681,2.3681509,2.3569629,2.3519442,2.3633315,2.3796187
3.2619351,1.6360146,1.648956,1.6467573,1.6422495,1.625321,1.6638347,1.6274541,1.6257144,1.6193353,1.6282985,1.6397836,1.6256461,1.6253734,1.6389029,1.6186959,1.6204829,1.6185036,1.6108749
2.3687625,1.6665779,1.6496106,1.6656085,1.6652582,1.6884667,1.6683394,1.6544874,1.6519315,1.6524233,1.6715042,1.6518696,1.6564128,1.6515522,1.6569603,1.6617687,1.6510977,1.6518751,1.6434268
3.2659814,1.6501874,1.6730066,1.6713811,1.637394,1.6664221,1.6794878,3.2932105,1.655917,1.6450377,1.6448881,1.6603669,1.6562688,3.2551878,3.2738424,3.2598366,3.2699508,3.2730189,3.2646223
2.41056,1.6396865,1.6421122,1.652728,1.6382624,1.6312152,1.6593423,2.5547916,1.6695949,1.6757133,1.8009196,1.812795,1.8291625,2.547184,2.5787905,2.619852,2.5922846,2.6129593,2.6331037
2.431605,1.8335746,1.7979371,1.8004029,1.8028539,1.8114012,1.8132977,2.534209,1.5970925,1.6119815,1.6125605,1.7980127,1.7917533,2.5240245,2.5338607,2.5194148,2.5228907,2.5444047,2.5179151
2.5342345,1.652891,1.6599248,1.6796246,1.6795469,1.6561063,1.6585248,2.5767238,1.6824224,1.6841105,1.6866235,1.8584049,1.62748,2.5482046,2.3874493,2.3704333,2.3685782,2.3963986,2.3750798
1.6694907,1.855506,1.8525353,1.8479221,1.8410836,1.852857,1.8607206,1.6477148,1.6667666,1.678772,1.8283188,1.8616505,1.8597646,1.6753915,1.6895311,1.66928,1.6780249,1.6595803,1.6762523
2.5510239,1.6381919,1.6434103,1.6374557,1.6884468,1.6482349,1.63919,4.2666834,2.50353,1.6181431,1.6323067,1.8706373,1.6528038,2.5242895,2.5815567,2.5673569,2.5502803,2.5577666,2.5432338
2.3903823,1.6803235,1.6680852,1.6598415,1.6876616,1.9097558,1.6717591,2.8965308,1.6735219,1.6727504,1.6528639,1.849155,1.9512332,2.8704927,2.8976371,2.7093902,2.7347759,2.7205673,2.7488031
3.2611863,1.6941463,2.1499239,1.6750553,1.6683777,1.695154,1.6754176,3.2722214,1.6852633,1.6612717,1.6710975,1.6344485,1.662323,3.285121,3.2845877,3.2770177,3.2984021,3.2903136,3.3100791
2.4703514,1.6633616,1.657562,1.6455104,1.6607521,1.6650606,1.6718804,2.553415,1.6632918,1.6999738,1.7278363,1.7143948,1.7124206,2.6418754,2.6189922,2.6093625,2.6073305,2.6076289,2.5975814
3.20358,1.6601804,2.6543046,1.6160695,1.625163,1.6226692,1.6218094,1.9610376,1.6026678,1.6466749,1.6269957,1.6277241,1.6217428,1.9692388,1.7866326,1.7969444,1.7946629,1.7835112,1.7810615
3.1261884,1.6401732,1.6259773,1.6317768,1.6270713,1.6242285,1.6313979,3.1232438,1.6263406,1.6019148,1.592952,1.6214413,1.6166088,3.1032821,2.4487963,2.4603881,3.0998902,3.1389172,3.1147426
3.4440869,1.6762898,1.6630304,1.6548877,1.661319,1.6588132,1.6839681,3.8128152,2.0159761,2.2502357,2.0244423,1.8007414,1.8126577,3.8016456,3.8173436,3.8278198,3.8045633,3.8088352,3.8044651
2.4338007,1.7281306,1.679484,1.6861794,1.7169466,1.6714888,1.6939914,2.38585,1.645385,1.656103,1.653481,1.6662407,1.662241,2.3737462,2.4154612,2.3634378,2.4168769,2.364664,2.3604066
2.3456436,1.6273607,1.6121099,1.6366421,1.6113155,1.6414232,1.6450653,2.5096491,1.6033232,1.5997998,1.6214498,1.6342439,1.6466154,2.5206942,2.5099785,2.5069566,2.5256672,2.5094546,2.5265324
3.2751114,1.8394196,1.8218293,1.8361217,1.8365001,1.8168273,1.8320014,3.2882495,1.6825089,1.6606306,1.6670546,1.8416256,1.8457615,3.2825101,3.2624815,3.296793,3.2650746,3.2881471,3.2835718
2.3829209,1.8494814,1.8554016,1.8459178,1.8413312,1.8484933,1.846604,1.6753285,1.6669372,1.6530125,1.6543118,1.8443991,1.8526185,1.6587604,1.6757586,1.6652704,1.6515716,1.666225,1.674319
2.5549232,1.670366,1.6703115,1.6487303,1.6986224,1.6756729,1.6640879,2.5228799,1.6521061,1.6517304,1.6577598,1.6539572,1.6488629,2.5417624,2.5486245,2.5349157,2.5255147,2.5545151,2.5389335
2.3523996,1.819392,1.8128883,1.7999782,1.8207186,1.8109311,1.8118633,2.534453,1.6189437,1.6176222,1.6181891,1.644152,1.8057986,2.5397588,2.5606227,2.5169227,2.5329455,2.5527628,2.5391568
2.1978459,1.6559804,1.6589169,1.6752502,1.6656128,1.6473803,1.6642163,2.1939376,1.6524365,1.6687478,1.6596367,1.6817176,1.6662288,2.1998695,2.1768616,2.1939722,2.1903433,2.2187748,2.2130013
3.0741387,1.6497348,1.6443501,1.6296081,1.6347783,1.6428851,1.6448605,1.9973178,1.6702649,1.6552249,1.6514729,1.6469616,1.6578818,1.8276087,1.8340463,1.8298296,1.8494826,1.8486628,1.8418924
